sample;language;text_num;error_phrase;type
Студенты получают скидки в городском транспорте, но в стоймости не входят оплата за проживание студентов в общежитии  (FL, 4463);FL;4463;студентов в общежитии;gde
В первых, архитектура в Питере красивее, целый центр города включен в списке ЮНЕСКО  (FL, 4503);FL;4503;включен в списке;gde
Вырески распределении на следующих классах: новости, полосы, мнения читетелей и репортажи  (FL, 4709);FL;4709;распределены на следующих классах;gde
Новости возможно распределить в следующих классах: торговля и энергия, политика, расизм в России, култура и путешествие  (FL, 4709);FL;4709;возможно распределить в следующих классах;gde
Сюжет разделен в трех частей[1]: время до войны, начала войны в Советской земли и 12 лет после войны  (FL, 9206);FL;9206;разделен в трех частей[1]: время до войны;gde
Стена настроилис в 1961 году чтобы люды не бежали из восточного Берлина из зона Советского союза в западное Берлина, которой принадлежил в зоне США, Франции и Англии  (FL, 4910);FL;4910;принадлежил в зоне США;gde
Либеральные реформы — войны, на пример война против Наполеоновской империи, Русско?шведская война 1808?1809, в России переходили Финляндия и Аландские острова  (FL, 4676);FL;4676;в России переходили;gde
То есть, примеры ненужнего вмешательства во собственном деле  (FL, 4476);FL;4476;вмешательство в собственном деле;gde
У таких людей есть видение в будущее и ценности, на которых они верят  (FL, 5091);FL;5091;на которых они верят;gde
и финну может показаться, что люди даже сердятся друг над другом  (FL, 4602);FL;4602;сердятся друг над другом;gde
Я не мог гулять всю ночь или сидеть на компьютере сколько хотел  (FL, 5002);FL;5002;сидеть компьютере сколько хотел;gde
Кто ставит на якорь на коробле, не ужели каждый бросит его из коробля?  (FL, 4705);FL;4705;ставит якорь на корабле;gde
И они всегда одеты в спортивном костюме из ветронепроницаемой ткани  (FL, 4473);FL;4473;одеты в спортивном костюме;gde
Часто они оделась в фраке и использовалась цилиндр  (FL, 6260);FL;6260;оделась во фраке;gde
Они бы увидели и мои недостати, а вдруг в этом же все и кончится  (FL, 4969);FL;4969;в этом же все и кончится;gde
Что бы продолжить в этой теме надо говорить о типичних финнах и тиничних русских  (FL, 4743);FL;4743;продолжить в этой теме;gde
За здоровием коров ухаживают полезной едой и спортом — животным позволяют ходить cвободно в коровне и летом и зимой и их кормят натурально производённой едой  (HL, 4294);HL;4294;ходить свободно в коровне;gde
С тремя подругами из нашей компании я ездила по школьному обмену на юг Германии, в Мюн-хене, когда мы учились на втором курсе гимназии  (HL, 4355);HL;4355;компании я ездила по школьному обмену ... в Мюн-хене;gde
В городе все услуги рядом, есть много ресторанов и кафе, в которых можно зайти и выпить чашку чая или поработать  (HL, 4427);HL;4427;в которых можно зайти;gde
Мне нравится путешествовать в разных странах мира  (HL, 4415);HL;4415;путешествовать в разных странах мира;gde
В 1921 году принц Японии делал визит в Окинаве и увидел на улице шоу каратэ Фунакоши  (HL, 4130);HL;4130;делал визит в Окинаве;gde
Многие семья иммигрировали в Финляндии не только из?за финскими корнями  (HL, 4324);HL;4324;иммигрировали в Финляндии;gde
И так я решила законьчить на этой работе  (HL, 4322);HL;4322;на этой работе;gde
В презентации сборника автор данной статьи рассказала о том, что многие родители надеялись чтобы дети интегрировали бы в обществе, но и сохраняли бы свои культуры  (HL, 4324);HL;4324;статьи рассказала о том, что многие родители надеялись чтобы дети интегрировали бы в обществе;gde
В настоящее время в моём разговорном русском языке сильно влияет интерференция с финским  (HL, 4326);HL;4326;интерференция с финским;gde
Однако перевод литературных текстов на язык кинематографа озноменовало за собой очевидную вульгаризацию переводимого  (HL, 4153);HL;4153;очевидную вульгаризацию переводимого;gde
Для них это хобби в котором человек получает удовольствие и хорошее настроение  (HL, 4277);HL;4277;и хорошее настроение;gde
В частности, угроза относиться на крупных хищных видах рыб, таких как акула и тунец  (HL, 4445);HL;4445;относится на крупных хищных видах рыб;gde
Принц был вдохновлён в том, что увидел и попросил Фунакоши показать каратэ и в других городах Японии  (HL, 4130);HL;4130;был вдохновлён в том;gde
Пекинг гораздо большой город и удивился в том, что там так много людей  (HL, 4247);HL;4247;удивился в том;gde
 Я помню когда я был маленький, я удивлялся в том, что мама мне говорила по русски, а папа говорил мне по фински  (HL, 4248);HL;4248;мне по фински;gde
Когда я был маленьким, я удивился в том, как Петербург так большой город  (HL, 4251);HL;4251;удивился в том;gde
Умный человек не сидит над компьютером по сутками, если не пишет там конечно?ж школьную работу и так далее  (HL, 4277);HL;4277;сидит над компьютером;gde
Меня поразило то, что воздух был очень грязный и в нём было трудно дышат  (HL, 4247);HL;4247;в нем было трудно дышат;gde
Эти коты знаменитые в том, что у них нет хвоста  (HL, 4134);HL;4134;знаменитые в том;gde
для анализа коммуникативной деятельности, надо определиться в его функции  (HL, 4264);HL;4264;определиться в его функции;gde
Тогда кончится отдых, и солнце появляется всё реже и реже за тучами  (HL, 4280);HL;4280; солнце появляется всё реже и реже за тучами ;gde
 были просто проблемой для Финляндии, которая пыталась держаться за своими националистическими и патриотическими идеями  (HL, 4263);HL;4263;ержаться за своими националистическими и патриотическими идеями ;gde
Под конец я могла сказать, что здоровье и настроение очень важные для хорошей и полноценной жизни и за ними надо заботиться!  (HL, 4442);HL;4442;за ними надо заботиться;gde
 человек, который стремится только за своими целями, остаётся одиноким  (HL, 4349);HL;4349;оторый стремится только за своими целями;gde
